data,cota,
18/07/1940,"26,4",
06/05/1941,"28,65",
18/11/1941,"25,93",
20/05/1942,"23,9",
27/01/1946,"27,4",
23/09/1954,"27,35",
06/04/1956,"28,86",
22/08/1965,"26,4",
20/09/1967,"26,33",
29/06/1982,"25,4",
10/07/1983,"24,75",
15/09/1988,"24,25",
12/09/1989,"25,2",
25/09/1989,"25,89",
02/06/1990,"26,64",
16/10/1990,"22,1",
28/05/1992,"25,35",
05/08/1997,"25,6",
13/10/2000,"23,8",
22/07/2001,"26,3",
03/10/2001,"26,95",
13/06/2002,"22,4",
21/02/2003,"21,8",
09/07/2003,"19,65",
25/10/2003,"20,73",
15/12/2003,"20,38",
16/07/2004,"15,17",
16/09/2004,"14,09",
09/05/2005,"20,94",
15/06/2005,"17,32",
01/09/2005,"17,35",
17/10/2005,"22,95",
29/10/2005,"15,77",
27/07/2006,"19,86",
16/05/2007,"15,72",
11/07/2007,"24,51",
23/07/2007,"18,66",
24/09/2007,"26,25",
02/11/2007,"16,55",
27/10/2008,"26,65",
10/08/2009,"21,55",
12/09/2009,"24,5",
28/09/2009,"21,75",
05/01/2010,"23,95",
27/04/2010,"18,3",
23/09/2010,"21,55",
21/07/2011,"26,85",
10/08/2011,"24,66",
20/09/2012,"21,25",
25/08/2013,"23,83",
22/09/2013,"18,69",
06/06/2014,"19,89",
20/10/2014,"20,49",
15/07/2015,"21,35",
21/09/2015,"22,1",
01/07/2020,"27,39",*
01/09/2023,"29,62",*
01/11/2023,"28,94",*
01/05/2024,"33,35",*